#Node Number,Latitude,Longitude,Technology,Capacity
n73,43.952722,-89.657219,tI2,50000
n74,43.8887864,-89.6774639,tF4,250000
n77,45.2086253,-91.8908345,tI1,30000
n78,45.4788,-91.834341,tF3,150000
n80,45.330174,-91.543636,tF2,50000
n82,44.3279734,-87.9729226,tF2,50000
n83,44.272017,-87.971349,tF3,150000
n85,44.540205,-87.789123,tI4,250000
n88,44.6643522,-88.1507888,tF1,30000
n92,44.409054,-87.904771,tF2,50000
n94,44.3926874,-88.0903074,tF2,50000
n95,44.334034,-88.168628,tF3,150000
n98,44.2994683,-88.110763,tF4,250000
n102,44.2654503,-91.8481239,tF1,30000
n103,45.762307,-92.6310929,tF1,30000
n105,44.2267152,-88.1466866,tI2,50000
n106,44.097001,-88.147437,tF4,250000
n111,44.122421,-88.112622,tF3,150000
n112,44.235045,-88.06098,tF3,150000
n113,44.9659247,-90.9746861,tF1,30000
n114,44.901922,-91.497807,tI2,50000
n115,45.0032736,-90.3526429,tF2,50000
n116,44.8511138,-90.2347974,tF3,150000
n118,44.7573292,-90.2591344,tF2,50000
n121,44.5239,-90.7487243,tI1,30000
n122,45.0173606,-90.3556863,tI2,50000
n123,42.7889219,-89.8135536,tI3,150000
n124,44.6407302,-90.3771428,tF3,150000
n130,42.873461,-89.522408,tI1,30000
n133,43.1612969,-89.1700655,tI4,250000
n134,43.1255927,-89.5511386,tI2,50000
n135,43.214887,-89.479006,tF3,150000
n136,43.127558,-89.543804,tI2,50000
n138,43.2343009,-88.966056,tI2,50000
n139,43.487582,-88.432642,tF3,150000
n140,43.5123201,-88.7754202,tI2,50000
n141,43.3984461,-88.6812317,tI2,50000
n142,44.7366839,-87.5027549,tF3,150000
n143,44.7726448,-91.9394584,tI2,50000
n144,45.1470211,-91.6660948,tI1,30000
n145,44.8923943,-91.6597361,tF1,30000
n146,45.0086159,-91.7608218,tF1,30000
n149,43.6921456,-88.3624164,tF3,150000
n156,43.8181248,-88.3240483,tF3,150000
n158,43.867771,-88.717945,tF4,250000
n159,43.862695,-88.521648,tI2,50000
n161,43.726016,-88.398931,tI1,30000
n162,42.9348801,-91.090403,tF2,50000
n163,42.6796252,-90.5831146,tF1,30000
n164,42.864588,-90.6961853,tF1,30000
n165,43.0065857,-90.602897,tI1,30000
n166,43.7013946,-89.051151,tF2,50000
n167,43.7057395,-89.0510134,tI2,50000
n169,43.9712488,-89.0123277,tI2,50000
n173,42.6013315,-89.3917564,tI1,30000
n174,44.2238278,-91.0851155,tF1,30000
n175,44.3188887,-91.0649767,tF1,30000
n178,44.4013418,-91.1053851,tF1,30000
n179,42.973292,-88.775482,tI2,50000
n181,43.1365455,-88.7221335,tI1,30000
n182,43.1630746,-88.574255,tI2,50000
n183,44.2212573,-89.9558671,tF2,50000
n187,44.3673969,-87.665803,tF2,50000
n188,44.6183421,-87.5815229,tF4,250000
n192,44.616287,-87.63395,tF4,250000
n193,44.4997104,-87.5955881,tF3,150000
n198,44.4091049,-87.539651,tF3,150000
n199,42.6328185,-89.946068,tI2,50000
n201,42.7853435,-90.2565166,tF2,50000
n203,42.6533571,-90.2918458,tF3,150000
n204,45.2609184,-89.1320129,tI2,50000
n208,44.115082,-87.879446,tF3,150000
n215,43.9505879,-87.7465309,tF4,250000
n218,43.922701,-87.868523,tF3,150000
n219,43.9791091,-87.8015843,tF3,150000
n220,44.256712,-87.525264,tF2,50000
n224,44.9580832,-89.767959,tI2,50000
n226,44.901323,-89.958202,tF2,50000
n228,44.8009709,-90.170057,tI1,30000
n229,45.032389,-90.121009,tF2,50000
n230,44.844099,-89.26493,tF2,50000
n231,45.0330639,-90.04741,tI1,30000
n232,44.940447,-89.2590262,tF2,50000
n233,45.1188113,-89.4920215,tF3,150000
n234,45.115722,-87.965177,tF4,250000
n239,43.984089,-90.585257,tF1,30000
n241,43.737048,-90.7938889,tI2,50000
n243,44.9076949,-88.201485,tF3,150000
n246,44.9766739,-88.3567435,tF4,250000
n247,44.470982,-88.460848,tF2,50000
n248,44.5316139,-88.4204359,tF2,50000
n254,44.486825,-88.7246212,tF2,50000
n255,44.366372,-88.2587304,tF4,250000
n258,43.427712,-87.985899,tI3,150000
n261,44.6195702,-91.8729325,tF3,150000
n262,44.679499,-92.26512,tI1,30000
n265,45.3457176,-92.5296724,tF1,30000
n266,44.5039979,-89.3145939,tI2,50000
n267,45.639964,-90.3406313,tF2,50000
n268,43.2721308,-90.3604491,tI1,30000
n269,42.7377508,-89.3607854,tF3,150000
n270,43.1863098,-90.0738836,tF2,50000
n271,45.7477947,-91.1946534,tI1,30000
n272,44.6441993,-88.3247075,tI2,50000
n273,44.7807238,-88.291793,tF3,150000
n274,44.7966007,-88.6467357,tI1,30000
n275,44.9188885,-89.1435829,tF2,50000
n276,44.704912,-88.4144984,tF1,30000
n282,43.770841,-87.924136,tI2,50000
n283,43.646808,-88.067302,tF1,30000
n284,43.871617,-88.074069,tF3,150000
n286,43.6449512,-87.7997912,tF1,30000
n287,43.571302,-87.9327198,tI2,50000
n288,45.008952,-92.3882859,tI1,30000
n290,45.0499939,-92.3750884,tF1,30000
n291,44.9744646,-92.2759466,tI2,50000
n292,44.1010454,-91.3519223,tI1,30000
n294,44.567219,-91.3873166,tI2,50000
n295,44.2527847,-91.473426,tF1,30000
n296,43.4837071,-90.504433,tI1,30000
n299,43.6230688,-90.6908274,tI1,30000
n300,42.80393,-88.686927,tI2,50000
n301,42.5916836,-88.4334301,tI2,50000
n302,42.521046,-88.483013,tI1,30000
n303,45.690121,-91.992615,tI2,50000
n304,43.5399861,-88.3615248,tI3,150000
n308,44.3593038,-88.7235989,tI1,30000
n309,44.595906,-88.789993,tF2,50000
n310,44.3015689,-88.9612695,tF2,50000
n312,44.1701566,-88.9605491,tF2,50000
n313,44.146298,-88.651705,tI2,50000
n314,44.369922,-88.258894,tF4,250000
n315,43.895023,-88.549789,tF2,50000
n317,44.58509,-90.019386,tI2,50000
n319,45.5060682,-91.738225,tG2,35000
n323,43.0324123,-89.3843206,tJ4,100000
n324,43.4577692,-88.837329,tJ2,35000
n325,44.8341639,-87.3770419,tJ1,15000
n327,44.8755183,-91.9193422,tJ2,35000
n328,44.6802386,-91.1198755,tJ1,15000
n332,42.73416,-90.4784621,tJ1,15000
n333,42.6011194,-89.6384532,tJ1,15000
n341,43.8013556,-91.2395807,tJ2,35000
n349,42.9105722,-87.8606367,tJ4,100000
n350,42.9712071,-87.9040571,tJ4,100000
n351,43.9441328,-90.8129118,tJ2,35000
n352,45.6366228,-89.4120753,tJ2,35000
n356,45.2519072,-92.2712996,tG3,70000
n364,43.7486054,-87.9770379,tJ4,100000
n366,42.6330703,-88.6437138,tJ2,35000
n369,43.4252776,-88.1834277,tJ4,100000
n371,43.0373723,-88.3919026,tJ4,100000
n373,43.0717382,-88.099845,tJ4,100000
n374,43.015059,-88.1974148,tJ4,100000
n384,44.4562,-89.5007,tJ2,35000
n385,42.915304,-87.941421,tJ4,100000
n388,43.1781644,-87.9812322,tH4,30000
n392,46.6725057,-91.967139,tJ1,15000
n398,44.4561674,-87.9334803,tJ4,100000
n399,44.4110785,-89.8554012,tJ2,35000
n400,43.5269302,-89.9977983,tJ2,35000
n402,43.0467563,-89.2638303,tJ4,100000
n403,43.5616447,-89.4921611,tJ1,15000
n410,45.2335146,-88.0837518,tJ2,35000
n411,44.834371,-91.374225,tJ3,70000
n412,45.9720821,-89.4148801,tJ1,15000
n414,42.8741902,-90.6718629,tJ2,35000
n417,44.0249171,-89.8418716,tJ2,35000
n419,43.089253,-88.748861,tJ2,35000
n420,42.707405,-87.869819,tJ3,70000
n424,44.2898206,-88.3350567,tJ4,100000
n425,43.8013556,-91.2395807,tJ1,15000
n426,43.59237,-90.8456325,tJ1,15000
n427,44.038994,-88.5319227,tJ4,100000
n429,43.1485037,-89.2734432,tJ2,35000
