  
  -----------------------------------------------
  NLP Solver 
  Argonne National Laboratory, 2016
  -----------------------------------------------


  Linear system solver ------	 Ma57.

solving ...
1st stage 156 variables, 0 equality constraints, 0 inequality constraints.
2nd stage (use 1st scenario): 1212 variables, 1212 equality constraints, 0 inequality constraints.
858 scenarios.
Total 1006524 variables, 1006368 equality constraints, 0 inequality constraints. 

 Iter	  Objective     Inf_pr	  Inf_du     Comp    lg(mu)   ||d||   lg(PrRg)	 alpha_du   alpha_pr    LS   lg(DuRg)	AugSysErr KKTSysErr    dWd0      dWd       thd0       thd      #RegFact   #KryIt
 0	 3.8286129e+06  1.78e-02  8.00e+02  0.00e+00  -1.0
 1	 3.6333249e+06  6.94e-18  2.98e+01  0.00e+00  -1.0  1.78e-01      - 	 1.00e+00  1.00e+00-b   1     - 	7.28e-12  0.00e+00   4.43e+04d  4.43e+04  2.18e-10  2.18e-10      0        0
 2	 3.6279766e+06  2.05e-07  2.95e+00  0.00e+00  -1.7  2.94e+00     0.0	 1.00e+00  1.00e+00-f   1     - 	4.55e-13  0.00e+00   5.36e+03d  5.36e+03  1.11e-10  1.11e-10      3        0
 3	 3.6092841e+06  2.71e-06  3.46e+00  0.00e+00  -2.5  1.01e+01     -0.5	 1.00e+00  1.00e+00-o   1     - 	9.09e-13  0.00e+00   1.87e+04d  1.87e+04  1.78e-10  1.78e-10      4        0
 4	 3.5070841e+06  1.31e-04  9.14e+01  0.00e+00  -2.5  5.95e+01     -1.0	 1.00e+00  1.00e+00-o   1     - 	7.28e-12  0.00e+00   1.05e+05d  1.05e+05  4.56e-09  4.56e-09      5        0
 5	 3.3352445e+06  5.93e-04  1.75e+02  0.00e+00  -2.5  6.08e+01     -0.5	 1.00e+00  1.00e+00-o   1     - 	7.28e-12  0.00e+00   1.48e+05d  1.48e+05  2.47e-09  2.47e-09      7        0
 6	 3.2524796e+06  1.34e-04  6.48e+01  0.00e+00  -2.5  1.51e+01     -0.1	 1.00e+00  1.00e+00-b   1     - 	1.46e-11  0.00e+00   1.83e+05d  1.83e+05  2.49e-10  2.49e-10      9        0
 7	 3.1126759e+06  4.82e-04  1.35e+02  0.00e+00  -2.5  6.06e+01     -0.6	 1.00e+00  1.00e+00-o   1     - 	1.09e-11  0.00e+00   1.83e+05d  1.83e+05  2.82e-09  2.82e-09      10        0
 8	 3.0357995e+06  4.91e-04  1.36e+02  0.00e+00  -2.5  2.37e+01     -0.2	 1.00e+00  1.00e+00-b   1     - 	1.46e-11  0.00e+00   2.78e+05d  2.78e+05  4.60e-10  4.60e-10      12        0
 9	 2.9876330e+06  8.82e-05  1.83e+01  0.00e+00  -2.5  2.25e+01     -0.6	 1.00e+00  1.00e+00-b   1     - 	3.98e-12  0.00e+00   9.63e+04d  9.63e+04  5.66e-10  5.66e-10      13        0
