#day,Chlorella,Rhodomonas,Oocystis,Microcystis,Planktothrix,Asterionella,Anabaena,Ceratium,
1,2.8006853717647178,7.596334170445646e-11,7.70073238165409e-5,1.2515612928128617e-10,3.5721101740787526e-5,0.02861262526764055,3.9760716480257636e-5,1.0360862134058131e-10,
2,2.8137079818688435,7.607304715876564e-11,7.632523903575182e-5,1.2556793717946012e-10,3.144308236415255e-5,0.028644613962273434,3.400187392365396e-5,1.038747726209302e-10,
3,2.8105954530431667,7.593210650201278e-11,7.574326385569247e-5,1.2534526315750178e-10,2.7102293131944186e-5,0.028559116543520995,2.8402274862033318e-5,1.036523955815718e-10,
4,2.798710437704662,7.579140263964821e-11,7.521146559921424e-5,1.2524312182015613e-10,2.3036206705797475e-5,0.028429861865363882,2.3371112751687548e-5,1.0355217436141471e-10,
5,2.785909803440546,7.57569105125757e-11,7.46176699166282e-5,1.252344059681949e-10,1.956765693631969e-5,0.02833280639861064,1.92781127513012e-5,1.0355613924319848e-10,
6,2.804311020326771,7.624794849670006e-11,7.392854112622713e-5,1.2720771348331903e-10,1.7925603555842026e-5,0.028170352259695816,1.6969824359378855e-5,1.043790208317658e-10,
7,2.8334793013395734,7.610009823570672e-11,7.320583099014086e-5,1.2723700508575396e-10,1.6541411726490442e-5,0.0280099096843575,1.5025144336333537e-5,1.043148035790319e-10,
8,2.9034944305820547,7.566200521067468e-11,7.247827888140279e-5,1.2608390530367847e-10,1.456192510038952e-5,0.02791888450873155,1.2696503000578106e-5,1.0372620738395763e-10,
9,3.0042495941400054,7.565362120987738e-11,7.175372183658098e-5,1.2597628468346823e-10,1.2185526083975665e-5,0.027953898863934033,1.0185598599128202e-5,1.0371585570403889e-10,
10,3.06926415451161,7.532305535704649e-11,7.103904430614248e-5,1.2553809288332133e-10,1.0486596492414867e-5,0.02796175255748579,8.391756853473413e-6,1.0324759405431375e-10,
11,3.116231008907456,7.510358803939619e-11,7.033293456329903e-5,1.259183303139583e-10,9.410727308033758e-6,0.027776505142360082,7.186663202048644e-6,1.0301585459405595e-10,
12,1.2940863466778845,7.891731545085782e-11,6.963613876624869e-5,1.484204710198119e-10,1.060902669593039e-5,0.02750845174183532,7.649918888128164e-6,1.1106867168034769e-10,
13,1.308716608336309,8.40405795956678e-11,6.909066716317704e-5,1.695930282437556e-10,1.1929643441996416e-5,0.027592590669614045,8.09414422331102e-6,1.1933996091535517e-10,
14,1.3467857089226754,9.183272371701832e-11,6.861489027396656e-5,1.9444674472998828e-10,1.383767359559366e-5,0.027737745500668085,8.79404919398128e-6,1.2964165503481193e-10,
15,1.3988499222339006,9.677362217202463e-11,6.81763995529414e-5,2.0053872942377755e-10,1.4511882293205342e-5,0.027607115080750807,8.623108902684505e-6,1.3310439181706905e-10,
16,1.4766379710602282,9.409370879961835e-11,6.76436582989305e-5,1.6407127650574347e-10,1.2799483045582031e-5,0.027324214182123416,7.119471248715135e-6,1.261167516055196e-10,
17,1.5825806377953535,8.351472681494635e-11,6.702348487545492e-5,1.3774349497039517e-10,7.825338773737567e-6,0.027077724804022728,4.106930310471855e-6,1.121191306100517e-10,
18,1.7193571307032685,7.904535991047122e-11,6.637727375600073e-5,1.30617082079314e-10,4.9675377868242485e-6,0.026274728739490095,2.45407173559524e-6,1.0730627545756782e-10,
19,0.3806698563991158,7.719307834992229e-11,6.57368729590578e-5,1.2905211004692164e-10,3.1638477009219775e-6,0.025394266188629555,1.4694939168745353e-6,1.0570301049895877e-10,
20,0.40879121853103556,7.694639972827929e-11,6.523177463517787e-5,1.2930037304549319e-10,2.367603610817672e-6,0.024715349701698662,1.0326899095226045e-6,1.0582994530425629e-10,
21,0.45094668497262264,7.795818900175338e-11,6.465220345804565e-5,1.2982726217249964e-10,1.9173258254511634e-6,0.024754466020512136,7.831663943239595e-7,1.0675308980762688e-10,
22,0.5136828966825026,7.960961666053502e-11,6.403472851052262e-5,1.2995987247468952e-10,1.578947435752373e-6,0.024044656588525067,6.022122428522731e-7,1.0728113013543388e-10,
23,0.6085447764574149,8.069680970762779e-11,6.3409051134186e-5,1.2922320898525295e-10,1.2811033648886619e-6,0.023243076198901674,4.544167962441458e-7,1.071099640272095e-10,
24,0.7383546558312443,8.137219382417131e-11,6.278434967655297e-5,1.2866688763989738e-10,9.007281222425256e-7,0.022414176878177695,2.9681568160973104e-7,1.0658640614663196e-10,
25,0.8240423678623442,8.130855257468599e-11,6.216364234004503e-5,1.2847853535837814e-10,6.068705129199131e-7,0.02158038891983087,1.8529588824510586e-7,1.0615520205766785e-10,
26,0.796033872013021,8.205602413643137e-11,6.168995281471233e-5,1.3064233779603938e-10,4.989177715386638e-7,0.020814198224826597,1.4069676032265482e-7,1.0742169699390388e-10,
27,0.7666211507223654,8.057618554251664e-11,6.128870454056504e-5,1.3024459125674593e-10,4.023082927931375e-7,0.02009237815917309,1.0435200331444615e-7,1.0706493985408402e-10,
28,0.738722448135398,7.891374216020553e-11,6.082143597764466e-5,1.30272591838553e-10,2.830045337460869e-7,0.019371975937354187,6.74011301815472e-8,1.0708246792467772e-10,
29,0.7089319701238253,7.850978052154562e-11,6.030714621636717e-5,1.3060667267243225e-10,1.9663219816332774e-7,0.018662786612540103,4.290126595825675e-8,1.0754637974347453e-10,
30,0.6786554043887567,7.840500340798063e-11,5.9878597963520237e-5,1.3068714516249895e-10,1.3604136418778442e-7,0.01801577460023671,2.7219417232087905e-8,1.0773638482105237e-10,
31,0.6499697150359515,7.756080294257783e-11,5.94767008600676e-5,1.3018034616383223e-10,8.810860770566683e-8,0.01740829710889628,1.6198353513262136e-8,1.0721670578671287e-10,
32,0.6232498382390583,7.932234792903311e-11,5.896642045070713e-5,1.3227960780627713e-10,6.985555369199985e-8,0.01679975867238172,1.1751464106289529e-8,1.0946985279882709e-10,
33,0.5959306419044526,8.141159592795563e-11,5.840542207109411e-5,1.3314452398662973e-10,5.7705291741263324e-8,0.016201513318979927,8.849085925352417e-9,1.113362730003268e-10,
34,0.5677805360856379,8.485728617552446e-11,5.783111224259129e-5,1.3400369530178286e-10,5.041470022845745e-8,0.01563046252213154,7.022210152115878e-9,1.1322716411277567e-10,
35,0.5369901631944398,8.900498717231631e-11,5.7329990225593837e-5,1.3337810812929417e-10,4.961447235005513e-8,0.01512639401963235,6.223825692221569e-9,1.1567707161397775e-10,
36,0.5088498628294901,9.002280884332278e-11,5.67981924402288e-5,1.3209560224035415e-10,3.652854433178311e-8,0.014632411142452327,4.155455232049192e-9,1.1491611611506127e-10,
37,0.4813253657072264,9.479301450109132e-11,5.6243863652179066e-5,1.3361608708510409e-10,3.094393566802214e-8,0.014157831398572818,3.1785384542893517e-9,1.1792979242926503e-10,
